Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF / 50V,C_0603_1608Metric,144.763072,-100.6,90.0,top
C10,10uF / 25V,C_0805_2012Metric,77.63,-122.65,-90.0,top
C11,10uF / 25V,C_0805_2012Metric,77.63,-130.8,-90.0,top
C12,10uF / 100V,C_1210_3225Metric,101.33,-129.525,-90.0,top
C13,100nF / 50V,C_0603_1608Metric,81.53,-52.815,-90.0,top
C14,100nF / 50V,C_0603_1608Metric,177.955,-74.25,0.0,top
C15,100nF / 50V,C_0603_1608Metric,89.194357,-63.628351,180.0,top
C16,100nF / 50V,C_0603_1608Metric,92.750644,-64.375644,90.0,top
C17,100nF / 50V,C_0603_1608Metric,97.892309,-47.375,90.0,top
C18,100nF / 50V,C_0603_1608Metric,88.218041,-48.4,180.0,top
C19,100nF / 50V,C_0603_1608Metric,100.6,-65.375,-90.0,top
C2,100nF / 50V,C_0603_1608Metric,185.0,-91.6,180.0,top
C20,100nF / 50V,C_0603_1608Metric,106.396794,-66.00676,0.0,top
C21,100nF / 50V,C_0603_1608Metric,113.565546,-49.823533,90.0,top
C22,100nF / 50V,C_0603_1608Metric,106.859277,-47.850886,0.0,top
C23,100nF / 50V,C_0603_1608Metric,114.597596,-64.755284,-90.0,top
C24,100nF / 50V,C_0603_1608Metric,119.183597,-63.815914,-90.0,top
C25,100nF / 50V,C_0603_1608Metric,126.409444,-50.11901,-90.0,top
C26,100nF / 50V,C_0603_1608Metric,140.604124,-132.192453,180.0,top
C27,100nF / 50V,C_0603_1608Metric,142.752105,-124.45227,90.0,top
C28,100nF / 50V,C_0603_1608Metric,124.253363,-96.504848,90.0,top
C29,100nF / 50V,C_0603_1608Metric,120.551325,-102.005939,0.0,top
C3,100nF / 50V,C_0603_1608Metric,91.761624,-51.006036,180.0,top
C30,100nF / 50V,C_0603_1608Metric,119.804775,-48.581406,-90.0,top
C31,100nF / 50V,C_0603_1608Metric,123.649132,-64.248982,180.0,top
C32,100nF / 50V,C_0603_1608Metric,117.44466,-88.368429,-90.0,top
C33,100nF / 50V,C_0603_1608Metric,117.449499,-91.509977,-90.0,top
C4,100nF / 50V,C_0603_1608Metric,101.537135,-51.17594,180.0,top
C5,100nF / 50V,C_0603_1608Metric,114.6,-52.2,180.0,top
C6,100nF / 50V,C_0603_1608Metric,123.0,-52.6,180.0,top
C7,10uF / 25V,C_0805_2012Metric,77.83,-114.1,-90.0,top
C8,10uF / 25V,C_0805_2012Metric,100.73,-112.2,-90.0,top
C9,10uF / 100V,C_1210_3225Metric,101.33,-121.925,-90.0,top
D1,SMBJ6.8CA,D_SMB,135.8,-59.275,-90.0,top
D2,WS2812B2020,LED_WS2812B2020,114.71838,-88.55,0.0,top
D3,GREEN,LED_D5.0mm,126.07,-77.45,0.0,top
D4,RED,LED_D5.0mm,126.07,-85.95,0.0,top
F1,6A,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,139.8,-58.675,-90.0,top
J1,Conn_01x02_Socket,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",137.14,-52.675,180.0,top
J2,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,80.13,-84.72,0.0,top
J3,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,154.512382,-74.312587,-90.0,top
J4,5520259-4,TE_5520259-4,177.015,-127.868,0.0,top
J5,5520259-4,TE_5520259-4,155.615,-127.913,0.0,top
K1,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,112.2,-110.6,180.0,top
K10,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,185.83,-113.45,0.0,top
K2,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,153.33,-99.75,-90.0,top
K3,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,150.190857,-85.819229,180.0,top
K4,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,162.463125,-85.812587,180.0,top
K5,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,165.73,-99.75,-90.0,top
K6,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,110.6,-75.8,0.0,top
K7,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,150.43,-113.435,0.0,top
K8,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,162.03,-113.435,0.0,top
